Exposure,VehValue,VehAge,VehBody,Gender,DrivAge,ClaimOcc,ClaimNb,ClaimAmount,policy
0.900752909,1.26,young cars,Hatchback,Male,oldest people,1,1,5188.3199921,P75
0.0109514031,3.4,young cars,Station wagon,Male,youngest people,1,1,20890.579956,P76
0.9226557153,1.78,young cars,Hatchback,Female,old people,1,1,200,P77
0.8459958932,2.9,youngest cars,Sedan,Female,old people,1,1,270.73999977,P78
0.900752909,4.27,young cars,Station wagon,Female,old people,1,1,200,P79
0.3312799452,3.35,young cars,Truck,Female,young people,1,1,389.94999981,P80
0.7939767283,3.3,youngest cars,Sedan,Female,older work. people,1,1,785.03999901,P81
0.6160164271,0.44,oldest cars,Hatchback,Male,working people,1,1,1438.2699966,P82
0.6598220397,3.33,old cars,Station wagon,Female,working people,1,1,1180.1099987,P83
0.7446954141,1.19,old cars,Sedan,Female,young people,1,1,1134,P84
0.900752909,1.37,youngest cars,Hatchback,Male,young people,1,1,200,P85
0.2436687201,2.06,old cars,Station wagon,Male,young people,1,1,2087.7799988,P86
0.8459958932,1.54,young cars,Hatchback,Female,youngest people,1,2,400.00999451,P87
0.3312799452,0.73,old cars,Hatchback,Female,older work. people,1,1,200,P88
0.514715948,1.49,youngest cars,Hatchback,Female,old people,1,1,1630.5499992,P89
0.5256673511,4.73,youngest cars,Station wagon,Male,young people,1,2,1642.6799965,P90
0.900752909,1.36,old cars,Sedan,Female,oldest people,1,1,696.20999908,P91
0.9117043121,3.549,youngest cars,Station wagon,Male,oldest people,1,1,542.64999962,P92
0.900752909,2.63,youngest cars,Sedan,Male,old people,1,1,3361.7299957,P93
0.900752909,1.11,old cars,Hatchback,Female,older work. people,1,1,507.8399992,P94
0.900752909,2.22,youngest cars,Sedan,Female,older work. people,1,1,367.72999954,P95
0.900752909,0.99,oldest cars,Sedan,Male,old people,1,1,820.78999901,P96
0.7994524298,2.2,youngest cars,Hatchback,Female,oldest people,1,1,1244.1599998,P97
0.900752909,3.17,old cars,Truck,Male,old people,1,1,512,P98
0.900752909,1.49,oldest cars,Utility,Male,youngest people,1,1,353.79999971,P99
0.7556468172,1.67,old cars,Hatchback,Female,young people,1,1,200,P100
0.5831622177,3.94,young cars,Station wagon,Female,older work. people,1,1,480,P101
0.7967145791,3.3,young cars,Utility,Male,youngest people,1,1,1864.0899963,P102
0.6954140999,1.29,old cars,Sedan,Male,working people,1,1,635.09999943,P103
0.8459958932,2.12,old cars,Station wagon,Female,working people,1,1,3682.25,P104
0.7446954141,0.81,old cars,Hatchback,Male,working people,1,1,367.72999954,P105
0.6954140999,2.76,young cars,Station wagon,Female,working people,1,1,4460.769989,P106
0.1451060917,2.74,old cars,Station wagon,Male,young people,1,1,24718.179993,P107
0.219028063,3.12,old cars,Sedan,Female,young people,1,1,200,P108
0.8980150582,0.67,oldest cars,Sedan,Female,oldest people,1,1,523.53999996,P109
0.8459958932,0.92,old cars,Hatchback,Female,working people,1,1,200,P110
0.9199178645,1.86,young cars,Sedan,Female,oldest people,1,1,403.62999964,P111
0.2819986311,3.66,old cars,Station wagon,Female,working people,1,1,518.17999935,P112
0.8459958932,4.7,youngest cars,Station wagon,Male,old people,1,1,353.76999998,P113
0.2108145106,0.91,old cars,Station wagon,Female,older work. people,1,1,286.37999916,P114
0.7802874743,1.51,old cars,Sedan,Female,youngest people,1,1,4791.4799957,P115
0.5119780972,1.44,oldest cars,Station wagon,Female,young people,1,1,369.14999962,P116
0.8980150582,0.74,oldest cars,Sedan,Male,young people,1,1,2814.5899963,P117
0.8980150582,1.18,old cars,Sedan,Female,older work. people,1,1,200,P118
0.6324435318,1.38,old cars,Sedan,Male,older work. people,1,1,200,P119
0.0985626283,1.05,old cars,Sedan,Female,old people,1,1,8870.7199707,P120
0.6351813826,0.65,oldest cars,Sedan,Female,older work. people,1,1,200,P121
0.5886379192,2.76,youngest cars,Station wagon,Female,working people,1,1,200,P122
0.2162902122,1.59,young cars,Utility,Male,young people,1,1,930.80999756,P123
0.7830253251,0.89,oldest cars,Truck,Male,working people,1,1,353.79999971,P124
0.0629705681,0.98,old cars,Sedan,Male,youngest people,1,1,200,P125
0.6242299795,2.01,young cars,Panel van,Male,working people,1,1,1417.2727242,P126
0.1149897331,2.75,youngest cars,Station wagon,Female,youngest people,1,1,200,P127
0.8980150582,0.85,old cars,Hatchback,Female,youngest people,1,1,1683.7799988,P128
0.9171800137,1.26,young cars,Hatchback,Female,young people,1,1,342.6400032,P129
0.5092402464,0.6,oldest cars,Hatchback,Female,youngest people,1,1,1820.3399963,P130
0.2902121834,4.349,youngest cars,Utility,Female,youngest people,1,1,2246.0229988,P131
0.8952772074,1.03,oldest cars,Hatchback,Female,working people,1,1,200,P132
0.5092402464,1.74,oldest cars,Station wagon,Male,young people,1,1,200,P133
0.3011635866,1.54,young cars,Sedan,Male,young people,1,1,200,P134
0.5092402464,1.01,young cars,Hatchback,Female,young people,1,2,21769.65361,P135
0.7091033539,1.56,young cars,Hatchback,Male,working people,1,1,1265.4499969,P136
0.6132785763,1.13,old cars,Sedan,Male,older work. people,1,1,1656.4299965,P137
0.6105407255,1.95,old cars,Station wagon,Male,older work. people,1,1,470.1099987,P138
0.6132785763,1.8,young cars,Sedan,Male,oldest people,1,3,4076.8199968,P139
0.6981519507,0.43,oldest cars,Sedan,Female,young people,1,1,420,P140
0.6105407255,0.76,old cars,Hatchback,Female,old people,1,1,1426.0099983,P141
0.3887748118,3.18,young cars,Station wagon,Female,old people,1,2,2212.6899981,P142
0.386036961,2.61,young cars,Station wagon,Female,older work. people,1,1,200,P143
0.5092402464,2.11,young cars,Sedan,Male,young people,1,1,353.76999998,P144
0.2683093771,1.97,young cars,Sedan,Female,older work. people,1,1,200,P145
0.2354551677,1.48,youngest cars,Hatchback,Male,youngest people,1,1,9278.8599854,P146
0.9171800137,1.4,old cars,Sedan,Female,working people,1,1,200,P147
0.59137577,0.84,old cars,Hatchback,Male,old people,1,1,2669.8399963,P148
0.5065023956,1.35,old cars,Sedan,Male,young people,1,1,200,P149
0.2162902122,0.34,oldest cars,Hatchback,Female,older work. people,1,1,640.72727203,P150
0.9911019849,1.45,oldest cars,Utility,Male,youngest people,1,1,390,P151
0.5065023956,1.23,young cars,Hatchback,Female,young people,1,1,3105.6999969,P152
0.2162902122,3.85,youngest cars,Station wagon,Female,working people,1,1,1747.4399986,P153
0.6078028747,2.12,youngest cars,Sedan,Female,working people,1,1,567.14999962,P154
0.6078028747,0.68,oldest cars,Hatchback,Female,old people,1,1,200,P155
0.2135523614,2.45,youngest cars,Sedan,Male,oldest people,1,1,909.64999962,P156
0.0602327173,1.39,youngest cars,Hatchback,Male,oldest people,1,1,200,P157
0.59137577,2.33,young cars,Station wagon,Female,older work. people,1,1,401.04999971,P158
0.4079397673,1.99,young cars,Sedan,Female,working people,1,1,450.04999971,P159
0.6625598905,2.33,old cars,Station wagon,Female,working people,1,1,200,P160
0.8377823409,0.93,old cars,Sedan,Female,working people,1,1,3744.5399933,P161
0.8898015058,0.79,oldest cars,Hatchback,Male,young people,1,1,1084.7799988,P162
0.8377823409,1.24,young cars,Hatchback,Female,youngest people,1,1,389.94999981,P163
0.8377823409,0.92,old cars,Hatchback,Female,older work. people,1,1,372.26999998,P164
0.8377823409,1.18,oldest cars,Truck,Male,old people,1,1,438.5,P165
0.2984257358,1.21,oldest cars,Coupe,Male,working people,1,1,200,P166
0.8815879534,0.9,old cars,Hatchback,Female,working people,1,1,683,P167
0.5065023956,2.16,youngest cars,Hatchback,Female,young people,1,1,200,P168
0.7857631759,1.28,old cars,Sedan,Female,older work. people,1,1,1454.0299988,P169
0.8076659822,1.65,old cars,Sedan,Male,working people,1,1,200,P170
0.5065023956,3.63,young cars,Station wagon,Female,old people,1,1,404.5454545,P171
0.8350444901,3.57,youngest cars,Utility,Male,young people,1,1,200,P172
0.8898015058,1.19,oldest cars,Station wagon,Male,older work. people,1,1,567.94999981,P173
0.9144421629,3.45,young cars,Hardtop,Male,older work. people,1,1,1347.329998,P174
0.3997262149,1.02,oldest cars,Sedan,Male,older work. people,1,1,200,P175
0.7857631759,1.23,young cars,Hatchback,Female,young people,1,1,353.76999998,P176
0.3969883641,4.25,young cars,Station wagon,Male,older work. people,1,1,353.76999998,P177
0.5065023956,1.349,youngest cars,Hatchback,Female,youngest people,1,1,200,P178
0.3969883641,1.99,oldest cars,Station wagon,Male,working people,1,1,359.5,P179
0.295687885,1.67,young cars,Hatchback,Female,working people,1,1,200,P180
0.2135523614,1.08,old cars,Hatchback,Female,older work. people,1,1,2370.9899979,P181
0.5065023956,1.17,old cars,Sedan,Female,old people,1,1,200,P182
0.257357974,4.58,youngest cars,Station wagon,Male,young people,1,2,1875.1399994,P183
0.5065023956,0.65,oldest cars,Sedan,Male,young people,1,1,200,P184
0.3942505133,0.79,old cars,Hatchback,Female,youngest people,1,1,353.76999998,P185
0.5037645448,1.55,youngest cars,Hatchback,Female,old people,1,1,2434.609993,P186
0.3969883641,0.39,oldest cars,Station wagon,Female,older work. people,1,1,359.5,P187
0.6023271732,0.95,oldest cars,Sedan,Male,older work. people,1,1,200,P188
0.6023271732,0.83,oldest cars,Station wagon,Male,young people,1,1,2326.4499969,P189
0.6023271732,2.61,oldest cars,Station wagon,Female,old people,1,1,376.62999964,P190
0.0574948665,1.29,oldest cars,Hardtop,Female,youngest people,1,1,353.76999998,P191
0.6050650239,2.33,young cars,Utility,Male,oldest people,1,1,3563.409996,P192
0.5065023956,0.39,oldest cars,Sedan,Female,older work. people,1,1,390,P193
0.5995893224,1.21,young cars,Hatchback,Female,youngest people,1,1,1702.7599983,P194
0.5065023956,0.9,oldest cars,Utility,Female,young people,1,1,377.8499999,P195
0.5065023956,2.18,young cars,Sedan,Male,older work. people,1,1,748.44999886,P196
0.3997262149,0.74,oldest cars,Hatchback,Female,old people,1,1,947.75,P197
0.3997262149,0.97,old cars,Sedan,Female,older work. people,1,1,1657.9499969,P198
0.2847364819,1.29,oldest cars,Station wagon,Female,older work. people,1,1,9806.5099487,P199
0.3367556468,1.66,oldest cars,Station wagon,Female,older work. people,1,1,13172.72998,P200
0.6543463381,1.428,youngest cars,Hatchback,Male,older work. people,1,1,200,P201
0.6023271732,3.4,youngest cars,Utility,Male,old people,1,1,345,P202
0.3969883641,1.74,youngest cars,Sedan,Male,young people,1,1,579.31999969,P203
0.629705681,1.73,young cars,Sedan,Female,older work. people,1,1,200,P204
0.8624229979,1.45,old cars,Sedan,Female,old people,1,1,1210.9499989,P205
0.4106776181,2.79,young cars,Station wagon,Male,working people,1,1,1532.9299965,P206
0.9144421629,2.54,old cars,Truck,Male,young people,1,1,1335.8199997,P207
0.8350444901,2.43,youngest cars,Sedan,Male,young people,1,1,5823.9499969,P208
0.8323066393,3.28,youngest cars,Station wagon,Male,working people,1,1,372.26999998,P209
0.629705681,1.44,oldest cars,Utility,Male,old people,1,1,2418.8099976,P210
0.629705681,1.73,young cars,Hatchback,Female,oldest people,1,1,3931.25,P211
0.8350444901,0.86,oldest cars,Sedan,Female,working people,1,1,272.09000015,P212
0.7665982204,1.42,old cars,Sedan,Male,working people,1,1,200,P213
0.8350444901,2.999,youngest cars,Station wagon,Male,youngest people,1,1,200,P214
0.1122518823,4.85,young cars,Station wagon,Male,older work. people,1,1,1957.2299995,P215
0.1642710472,0.84,old cars,Hatchback,Female,young people,1,1,7796.3699951,P216
0.7665982204,0.99,old cars,Hatchback,Female,young people,1,1,353.76999998,P217
0.295687885,1.61,young cars,Hatchback,Female,working people,1,1,353.76999998,P218
0.8843258042,2.44,youngest cars,Sedan,Male,oldest people,1,1,1659.3799973,P219
0.3230663929,1.09,old cars,Station wagon,Male,oldest people,1,1,3725.4618225,P220
0.8980150582,1.08,old cars,Sedan,Female,oldest people,1,1,834.52999878,P221
0.9993155373,5.813,youngest cars,Station wagon,Female,working people,1,1,200,P222
0.8980150582,1.63,old cars,Hardtop,Female,working people,1,1,1544.0899963,P223
0.8980150582,1.01,old cars,Hatchback,Female,working people,1,1,353.76999998,P224
0.8980150582,1.98,oldest cars,Station wagon,Male,older work. people,1,1,1020.5599995,P225
0.476386037,0.92,oldest cars,Hatchback,Male,working people,1,1,1449.1436348,P226
0.7912388775,1.559,youngest cars,Hatchback,Female,youngest people,1,1,393.79999971,P227
0.887063655,4.11,youngest cars,Station wagon,Female,youngest people,1,1,837.19999886,P228
0.6269678302,1.59,old cars,Sedan,Male,older work. people,1,1,696.47999954,P229
0.8569472964,2.41,old cars,Station wagon,Male,old people,1,1,385.0899992,P230
0.1396303901,1.28,oldest cars,Station wagon,Female,old people,1,1,4057.8099976,P231
0.8569472964,1.86,youngest cars,Hatchback,Male,old people,1,1,882.09999847,P232
0.8596851472,1.89,young cars,Sedan,Female,older work. people,1,1,1785.7399979,P233
0.8569472964,1.1,old cars,Sedan,Female,working people,1,1,353.76999998,P234
0.7802874743,1.82,young cars,Station wagon,Male,older work. people,1,1,1211.3499985,P235
0.5037645448,3.32,youngest cars,Station wagon,Female,old people,1,2,959.41999912000006,P236
0.1423682409,2.23,youngest cars,Sedan,Female,older work. people,1,1,1176.8099995,P237
0.8596851472,1.6,old cars,Hatchback,Female,older work. people,1,1,721.25999832,P238
0.2710472279,1.56,oldest cars,Hardtop,Male,young people,1,1,252.38999939,P239
0.8569472964,1.12,old cars,Hatchback,Male,older work. people,1,1,221,P240
0.4435318275,2.29,old cars,Station wagon,Female,working people,1,1,2311.1899948,P241
0.7885010267,1.09,oldest cars,Sedan,Female,young people,1,1,861.15999985,P242
0.7693360712,2.2,young cars,Station wagon,Male,young people,1,1,1235.3699989,P243
0.8843258042,2.68,youngest cars,Sedan,Female,older work. people,1,1,200,P244
0.8323066393,2.5,youngest cars,Hardtop,Female,older work. people,1,1,870.12999916,P245
0.2080766598,2.3,old cars,Station wagon,Female,working people,1,1,2287.7099991,P246
0.772073922,2.34,oldest cars,Minibus,Female,older work. people,1,2,1987.7999992,P247
0.4900752909,1.41,young cars,Sedan,Female,youngest people,1,1,3442.4636307,P248
0.9993155373,3.22,young cars,Utility,Female,youngest people,1,2,3608.1799984,P249
0.8295687885,2.38,old cars,Station wagon,Female,working people,1,1,1076.1499996,P250
0.1341546886,0.58,oldest cars,Coupe,Female,oldest people,1,1,3663.409996,P251
0.8952772074,1.61,young cars,Sedan,Male,old people,1,1,233.2699995,P252
0.8952772074,1.23,young cars,Hatchback,Female,old people,1,1,1140.1899986,P253
0.8323066393,0.44,oldest cars,Hatchback,Female,young people,1,1,2438.5799942,P254
0.7145790554,1.3,young cars,Hatchback,Female,youngest people,1,1,200,P255
0.8323066393,3.06,old cars,Station wagon,Male,young people,1,1,389.94999981,P256
0.9062286105,1.14,oldest cars,Utility,Male,older work. people,1,2,2701.2199974,P257
0.2655715263,1.06,oldest cars,Hatchback,Female,young people,1,1,353.76999998,P258
0.3942505133,0.88,old cars,Sedan,Female,oldest people,1,1,616.80999947,P259
0.3942505133,5.27,young cars,Station wagon,Female,oldest people,1,1,250,P260
0.3942505133,1.78,young cars,Sedan,Female,older work. people,1,1,1522.2199974,P261
0.605065024,1.65,young cars,Sedan,Female,working people,1,1,4795.4899902,P262
0.3942505133,2.13,young cars,Sedan,Female,oldest people,1,1,200,P263
0.4325804244,0.81,oldest cars,Hatchback,Female,young people,1,1,7195.7799835,P264
0.8651608487,2.66,old cars,Station wagon,Male,old people,1,1,887.38999939,P265
0.2874743326,2.66,young cars,Station wagon,Male,working people,1,1,1233.4699974,P266
0.8651608487,4.8,youngest cars,Hardtop,Male,youngest people,1,1,353.79999971,P267
0.925393566,2.36,old cars,Station wagon,Female,young people,1,1,462.25,P268
0.9062286105,0.71,oldest cars,Sedan,Male,working people,1,1,727.16999817,P269
0.9062286105,1.8,young cars,Station wagon,Female,old people,1,1,200,P270
0.9993155373,4.71,youngest cars,Station wagon,Female,oldest people,1,1,200,P271
0.2436687201,1.13,old cars,Sedan,Female,youngest people,1,1,408.12999964,P272
0.8076659822,2.24,old cars,Station wagon,Male,young people,1,1,200,P273
0.4407939767,1.29,oldest cars,Station wagon,Female,working people,1,1,404.5454545,P274
0.8815879535,1.31,youngest cars,Hatchback,Male,old people,1,1,200,P275
0.8295687885,1.25,oldest cars,Station wagon,Male,older work. people,1,1,482.89999962,P276
0.8295687885,0.4,oldest cars,Station wagon,Male,working people,1,1,384.5,P277
0.501026694,4.42,youngest cars,Truck,Male,older work. people,1,1,1349.9399986,P278
0.8158795346,5.14,youngest cars,Station wagon,Female,young people,1,1,390,P279
0.7036276523,2.65,young cars,Sedan,Female,older work. people,1,1,810.64999962,P280
0.1314168378,0.73,oldest cars,Station wagon,Male,older work. people,1,1,353.13999987,P281
0.8295687885,1.24,young cars,Hatchback,Female,older work. people,1,1,508.11999989,P282
0.9993155373,1.22,old cars,Hatchback,Female,older work. people,1,1,472,P283
0.772073922,0.64,oldest cars,Hatchback,Male,young people,1,1,200,P284
0.6981519507,1.04,young cars,Hatchback,Female,older work. people,1,1,353.76999998,P285
0.3203285421,0.62,oldest cars,Utility,Male,youngest people,1,1,4368.2999878,P286
0.2984257358,3.2,old cars,Station wagon,Female,working people,1,1,490.81999969,P287
0.629705681,0.71,oldest cars,Station wagon,Female,young people,1,1,271.72999954,P288
0.6844626968,3.98,young cars,Station wagon,Male,older work. people,1,1,1328.6799965,P289
0.8295687885,1.26,young cars,Hatchback,Female,youngest people,1,1,353.76999998,P290
0.7748117728,1.47,oldest cars,Utility,Male,working people,1,1,200,P291
0.5968514716,1.82,young cars,Hatchback,Male,oldest people,1,1,1358.1099968,P292
0.5968514716,1.6,young cars,Sedan,Female,working people,1,1,3690.2899933,P293
0.5968514716,2.01,youngest cars,Hatchback,Male,working people,1,1,908.38999939,P294
0.090349076,2.76,youngest cars,Sedan,Male,oldest people,1,1,480,P295
0.5968514716,1.05,oldest cars,Panel van,Male,working people,1,1,9301.8499756,P296
0.8021902806,3.29,youngest cars,Station wagon,Male,old people,1,1,3159.5299988,P297
0.8788501027,1.52,young cars,Sedan,Male,young people,1,1,404.30999756,P298
0.4353182752,1.2,old cars,Sedan,Male,working people,1,2,968.32999992,P299
0.8815879535,1.89,young cars,Sedan,Female,older work. people,1,1,4767.1099854,P300
0.4928131417,1.02,old cars,Hatchback,Male,working people,1,1,353.76999998,P301
0.9226557153,2.77,youngest cars,Station wagon,Female,young people,1,1,353.76999998,P302
0.8268309377,0.71,oldest cars,Station wagon,Female,young people,1,1,353.76999998,P303
0.2847364819,1.6,old cars,Utility,Male,working people,1,1,3112.3199997,P304
0.7145790554,0.98,old cars,Hatchback,Male,youngest people,1,1,200,P305
0.8268309377,0.97,old cars,Sedan,Female,old people,1,2,4108.6999969,P306
0.9965776865,1.85,youngest cars,Sedan,Male,older work. people,1,1,1251,P307
0.900752909,1.57,young cars,Hatchback,Female,oldest people,1,1,200,P308
0.8268309377,1.15,old cars,Sedan,Male,oldest people,1,1,1502.0499992,P309
0.3832991102,4.64,youngest cars,Station wagon,Female,young people,1,1,1827.6399994,P310
0.4928131417,0.54,oldest cars,Coupe,Male,young people,1,1,644.54999924,P311
0.8268309377,2.9,youngest cars,Sedan,Female,old people,1,1,600.5899992,P312
0.386036961,3.47,youngest cars,Station wagon,Female,working people,1,1,769.00999832,P313
0.5366187543,3.91,youngest cars,Utility,Male,working people,1,1,3575.1799927,P314
0.900752909,1.18,old cars,Sedan,Female,working people,1,1,542.25,P315
0.2929500342,0.9,old cars,Sedan,Male,older work. people,1,1,1182.7099991,P316
0.4928131417,1.74,oldest cars,Station wagon,Female,working people,1,1,389.94999981,P317
0.8268309377,2.52,old cars,Truck,Male,young people,1,1,345,P318
0.4928131417,0.37,oldest cars,Utility,Male,youngest people,1,1,715.75999832,P319
0.5503080082,1.3,old cars,Sedan,Female,older work. people,1,1,1240.3399963,P320
0.386036961,1.46,old cars,Sedan,Female,old people,1,1,7160.6399994,P321
0.6132785763,3.97,young cars,Station wagon,Female,old people,1,1,389.94999981,P322
0.386036961,0.54,oldest cars,Hatchback,Female,working people,1,1,2655.6199951,P323
0.4900752909,1.73,youngest cars,Hatchback,Female,young people,1,1,2523.0236359,P324
0.3915126626,0.79,old cars,Truck,Female,youngest people,1,1,390,P325
0.8268309377,0.84,old cars,Hatchback,Female,older work. people,1,1,4146.3499985,P326
0.1204654346,2.5,old cars,Utility,Male,older work. people,1,1,1388.9699974,P327
0.3258042437,0.85,old cars,Hatchback,Female,young people,1,1,7614.7999878,P328
0.5366187543,2.66,youngest cars,Sedan,Male,youngest people,1,1,1730.6199989,P329
0.8240930869,0.78,oldest cars,Station wagon,Male,older work. people,1,1,1192.3399982,P330
0.7748117728,1.76,youngest cars,Hatchback,Female,youngest people,1,1,2821.909996,P331
0.8980150582,0.6,oldest cars,Sedan,Male,older work. people,1,1,1627.3499985,P332
0.4928131417,3.74,young cars,Station wagon,Male,older work. people,1,1,553.64999962,P333
0.5338809035,1.63,youngest cars,Hatchback,Male,older work. people,1,1,4927.0899963,P334
0.8761122519,1.42,old cars,Sedan,Female,working people,1,1,200,P335
0.6160164271,2.96,old cars,Station wagon,Male,oldest people,1,1,232.80000019,P336
0.3093771389,1.75,oldest cars,Station wagon,Female,working people,1,1,353.79999971,P337
0.5941136208,0.41,oldest cars,Station wagon,Male,older work. people,1,1,3087.3999939,P338
0.5941136208,1.2,oldest cars,Sedan,Female,older work. people,1,1,2640.6799927,P339
0.5941136208,1.03,young cars,Hatchback,Female,young people,1,1,200,P340
0.5776865161,0.53,oldest cars,Hatchback,Male,oldest people,1,1,6183.6356201,P341
0.5941136208,3.39,old cars,Station wagon,Male,working people,1,1,369.14999962,P342
